m49_a3_country,country,continent,region_un,region_wb,su_a3
258,French Polynesia,No continent,No region,No subregion,PYF
266,Gabon,Africa,Africa,Sub-Saharan Africa,GAB
270,Gambia,Africa,Africa,Sub-Saharan Africa,GMB
268,Georgia,Asia,Asia,Europe & Central Asia,GEO
276,Germany,Europe,Europe,Europe & Central Asia,DEU
288,Ghana,Africa,Africa,Sub-Saharan Africa,GHA
292,Gibraltar,No continent,No region,No subregion,GIB
300,Greece,Europe,Europe,Europe & Central Asia,GRC
304,Greenland,North America,Americas,Europe & Central Asia,GRL
308,Grenada,No continent,No region,No subregion,GRD
312,Guadeloupe,No continent,No region,No subregion,GLP
316,Guam,No continent,No region,No subregion,GUM
320,Guatemala,North America,Americas,Latin America & Caribbean,GTM
324,Guinea,Africa,Africa,Sub-Saharan Africa,GIN
624,Guinea-Bissau,Africa,Africa,Sub-Saharan Africa,GNB
328,Guyana,South America,Americas,Latin America & Caribbean,GUY
332,Haiti,North America,Americas,Latin America & Caribbean,HTI
336,Holy See,No continent,No region,No subregion,VAT
340,Honduras,North America,Americas,Latin America & Caribbean,HND
348,Hungary,Europe,Europe,Europe & Central Asia,HUN
352,Iceland,Europe,Europe,Europe & Central Asia,ISL
356,India,Asia,Asia,South Asia,IND
360,Indonesia,Asia,Asia,East Asia & Pacific,IDN
364,Iran (Islamic Republic of),Asia,Asia,Middle East & North Africa,IRN
368,Iraq,Asia,Asia,Middle East & North Africa,IRQ
372,Ireland,Europe,Europe,Europe & Central Asia,IRL
833,Isle of Man,No continent,No region,No subregion,IMN
376,Israel,Asia,Asia,Middle East & North Africa,ISR
380,Italy,Europe,Europe,Europe & Central Asia,ITA
388,Jamaica,North America,Americas,Latin America & Caribbean,JAM
392,Japan,Asia,Asia,East Asia & Pacific,JPN
400,Jordan,Asia,Asia,Middle East & North Africa,JOR
398,Kazakhstan,Asia,Asia,Europe & Central Asia,KAZ
404,Kenya,Africa,Africa,Sub-Saharan Africa,KEN
296,Kiribati,No continent,No region,No subregion,KIR
